,,,,,,,,,,,,,Normalised abundance,,,,,Raw abundance,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Condition 1,Condition 2,Condition 3,Condition 4,QC,Condition 1,Condition 2,Condition 3,Condition 4,QC,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,LZJ-A1-,LZJ-B1-,LZJ-C1-,LZJ-D1-,LZJ-QC3-,LZJ-A1-.1,LZJ-B1-.1,LZJ-C1-.1,LZJ-D1-.1,LZJ-QC3-.1,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link,Da,mDa,Group,NRF_Rule
31.71_736.4504n,736.4504465,735.4431701,1,31.70805,3.890316667,0,1.449136059,Condition 1,Condition 4,100 - 44.4 - 61.9 - 13.7,4453.355908,---,4453.355908,4012.230114,3266.872964,3073.110963,3157.839149,3810.548656,3748.057231,3419.838911,3326.097783,3157.839149,,,"M-H, M+HCOO",,,,,,,,735,443.1701,Group 1,even
31.71_674.4841n,674.4841292,719.4643743,1,31.70805,3.533033333,0,1.9393117,Condition 1,Condition 4,100 - 37.1 - 35.8 - 12.9,16530.77686,---,16530.77686,13144.32714,9426.428375,8524.043277,11867.50073,14144.68793,12278.87957,9867.805358,9225.765613,11867.50073,,,"M-H, M+HCOO",,,,,,,,719,464.3743,Group 1,even
31.66_608.3760n,608.3759668,607.3686904,1,31.65855,0.978483333,0,2.373433197,Condition 1,Condition 4,100 - 32.3 - 17.6 - 4.02 - 5.12,3009.905826,---,3009.905826,1970.031464,1856.984058,1268.165386,1563.948601,2575.449354,1840.320835,1943.934278,1372.564196,1563.948601,,,"M-H, M+HCOO",,,,,,,,607,368.6904,Group 1,even
27.49_580.3429n,580.3429123,579.3356359,1,27.49155,0.8146,0,5.920954511,Condition 1,Condition 4,100 - 25.4 - 19.6,6056.365242,---,6056.365242,3632.327067,2202.282568,1022.869747,2785.665978,5182.176073,3393.167725,2305.400822,1107.075156,2785.665978,,,"M-H, M+HCOO",,,,,,,,579,335.6359,Group 1,even
26.51_654.3793n,654.3793007,699.377581,1,26.51106667,0.655983333,0,2.341699782,Condition 1,Condition 3,100 - 30.1 - 8.24 - 1.56 - 0.608,28994.48249,---,28994.48249,16901.5032,12381.8103,15705.82546,17319.61726,24809.35468,15788.67599,12961.56818,16998.77156,17319.61726,,,"M-H, M+HCOO",,,,,,,,699,377.581,Group 1,even
26.51_604.3449n,604.3449154,649.3420764,1,26.51106667,0.655916667,0,7.32855278,Condition 1,Condition 4,100 - 29 - 12.7 - 1.92,5642.439577,---,5642.439577,3410.517753,2635.848255,769.9254882,2765.830887,4827.997355,3185.96276,2759.267508,833.3078402,2765.830887,,,"M-H, M+HCOO",,,,,,,,649,342.0764,Group 1,even
6.82_745.3998m/z,,745.3998306,1,6.824666667,0.727466667,0,3.705132374,Condition 4,Condition 3,100 - 34.8,315.9166253,---,109.6446385,255.6380583,85.26459877,315.9166253,126.7780668,93.81828864,238.806361,89.25697318,341.9237377,126.7780668,,,,,,,,,,,745,399.8306,Group 1,even
7.77_785.3947m/z,,785.3947084,1,7.7663,0.310866667,0,3.189363529,Condition 2,Condition 3,100 - 31.7,199.4740979,---,114.2614243,199.4740979,62.54354389,151.8849112,106.4116658,97.7686773,186.3403428,65.47204233,164.3884885,106.4116658,,,,,,,,,,,785,394.7084,Group 1,even
8.17_755.4240m/z,,755.4239974,1,8.172816667,0.564666667,0,1.665750228,Condition 4,Condition 2,100 - 23.7 - 6.23,1096.880177,---,660.0360568,658.4901855,1012.48739,1096.880177,789.4754384,564.7649909,615.1339358,1059.895445,1187.178325,789.4754384,,,,,,,,,,,755,423.9974,Group 1,even
8.65_563.3418m/z,,563.3417752,1,8.647883333,0.836416667,0,4.330802413,Condition 4,Condition 1,100 - 26.2 - 54.4 - 13.8 - 2.86 - 0.818,6157.837087,---,1421.869783,3948.314416,5152.48687,6157.837087,4898.194355,1216.63395,3688.349865,5393.743582,6664.766918,4898.194355,,,,,,,,,,,563,341.7752,Group 1,even
8.65_753.3892m/z,,753.3892428,1,8.647883333,1.0962,0,7.799867891,Condition 4,Condition 1,100 - 32.9 - 37.3 - 11.2,7161.073377,---,918.1018803,2797.842548,5865.22251,7161.073377,4754.277236,785.581022,2613.627259,6139.851895,7750.592338,4754.277236,,,,,,,,,,,753,389.2428,Group 1,even
8.65_771.4043m/z,,771.4043143,1,8.647883333,1.049933333,0,1.65656416,Condition 1,Condition 2,100 - 43.4 - 29.3 - 1.78,2433.082224,---,2433.082224,1468.752182,2306.967259,1612.484093,1730.477095,2081.885748,1372.046737,2414.987202,1745.228152,1730.477095,,,,,,,,,,,771,404.3143,Group 1,even
8.92_857.4626m/z,,857.4625793,1,8.915566667,0.52615,0,3.644825032,Condition 3,Condition 1,100 - 40.7 - 29.5 - 8.58 - 1.93,1391.03231,---,381.6458398,649.8741917,1391.03231,828.1177906,841.1224419,326.5582342,607.0852355,1456.165107,896.2906907,841.1224419,,,,,,,,,,,857,462.5793,Group 1,even
9.28_839.3949m/z,,839.3949116,1,9.282233333,0.951833333,0,3.137937411,Condition 4,Condition 1,100 - 37.7 - 17.2 - 3.12,6394.928893,---,2037.940231,3602.892334,5885.457582,6394.928893,4587.721267,1743.779426,3365.671031,6161.03444,6921.376764,4587.721267,,,,,,,,,,,839,394.9116,Group 1,even
9.43_755.4168m/z,,755.4167564,1,9.42845,1.0743,0,1.95419095,Condition 3,Condition 2,100 - 31.9 - 17.9 - 2.26,3529.324,---,2897.056881,1806.028219,3529.324,1876.950918,2759.846772,2478.889276,1687.115876,3694.578783,2031.466603,2759.846772,,,,,,,,,,,755,416.7564,Group 1,even
9.70_649.3757m/z,,649.375733,1,9.69915,0.217516667,0,3.87884345,Condition 3,Condition 2,100 - 28.1,253.5331009,---,72.28829011,65.36306613,253.5331009,211.0559662,178.3431078,61.85403826,61.05943719,265.4043708,228.4306651,178.3431078,,,,,,,,,,,649,375.733,Group 1,even
